name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
PP_56292_ES5,ngct,28663,57.3,7.048787496,21.774,3.17,59.56651181,4011,57.3,1,1
PP_56292_ES6,ngct,28663,57.3,3.422845555,21.774,3.17,28.92511234,4011,57.3,1,1
PP_57029_1,ngct,29803,184,10.33800054,69.92,3.17,280.5352908,12880,184,1,1
PP_57029_2,ngct,29803,184,10.38112521,69.92,3.17,281.7055357,12880,184,1,1
PP_57029_3,ngct,29803,184,10.63188612,69.92,3.17,288.510264,12880,184,1,1
PP_57029_4,ngct,29803,184,9.65182645,69.92,3.17,261.9150511,12880,184,1,1
PP_57505_1,ngct,15782,15,30.34166667,5.7,3.17,67.12183501,1050,15,1,1
PP_57505_2,ngct,15782,15,30.34166667,5.7,3.17,67.12183501,1050,15,1,1
PP_58400_GT01,ngct,229,5.5,20.65079365,2.09,3.17,16.75068476,385,5.5,1,1
PP_59325_KMEC1,ngcc,29803,310.2,6.799916498,117.876,3.17,299.9454824,21714,310.2,6,6
PP_59325_KMEC2,ngcc,29803,233.7,6.799916498,88.806,3.17,225.9744012,16359,233.7,6,6
PP_61675_CTG1,ngct,12439,5.6,12.80846445,2.128,3.17,10.57835709,392,5.6,1,1
PP_61675_STG,ngct,12439,1,18.21190476,0.38,3.17,2.685891714,70,1,1,1
PP_61676_CTG1,ngct,12439,5.6,14.03271841,2.128,3.17,11.58945374,392,5.6,1,1
PP_61676_CTG2,ngct,12439,5.6,14.03271841,2.128,3.17,11.58945374,392,5.6,1,1
PP_63063_GT01,ngct,229,13.4,15.11989326,5.092,3.17,29.8804169,938,13.4,1,1
PP_7277_1,ngct,4099,109.6,16.11295154,41.648,3.17,260.446655,7672,109.6,1,1
PP_7277_10,ngct,4099,109.6,10.33347846,41.648,3.17,167.0283618,7672,109.6,1,1
PP_7277_11,ngct,4099,109.6,18.77286987,41.648,3.17,303.4410642,7672,109.6,1,1
PP_7277_12,ngct,4099,109.6,16.38613326,41.648,3.17,264.8623119,7672,109.6,1,1
PP_7277_13,ngct,4099,109.6,16.05036228,41.648,3.17,259.4349742,7672,109.6,1,1
PP_7277_14,ngct,4099,109.6,16.1252256,41.648,3.17,260.6450506,7672,109.6,1,1
PP_7277_15,ngct,4099,109.6,14.43116937,41.648,3.17,233.2626509,7672,109.6,1,1
PP_7277_16,ngct,4099,109.6,12.60900501,41.648,3.17,203.8095361,7672,109.6,1,1
PP_7277_2,ngct,4099,109.6,20.73080578,41.648,3.17,335.0887643,7672,109.6,1,1
PP_7277_3,ngct,4099,109.6,20.71208254,41.648,3.17,334.7861255,7672,109.6,1,1
PP_7277_4,ngct,4099,109.6,20.31965066,41.648,3.17,328.4429319,7672,109.6,1,1
PP_7277_5,ngct,4099,109.6,17.4396495,41.648,3.17,281.8911461,7672,109.6,1,1
PP_7277_6,ngct,4099,109.6,16.02792414,41.648,3.17,259.0722884,7672,109.6,1,1
PP_7277_7,ngct,4099,109.6,18.1367138,41.648,3.17,293.1583596,7672,109.6,1,1
PP_7277_8,ngct,4099,109.6,12.69175035,41.648,3.17,205.1470158,7672,109.6,1,1
PP_7277_9,ngct,4099,109.6,14.1904608,41.648,3.17,229.3718838,7672,109.6,1,1
PP_7805_001,ngct,28663,199.4,8.586263318,75.772,3.17,252.5006416,13958,199.4,1,1
PP_7805_002,ngct,28663,199.4,11.71478183,75.772,3.17,344.5025872,13958,199.4,1,1
PP_7805_003,ngct,28663,199.4,9.632253189,75.772,3.17,283.2606012,13958,199.4,1,1
PP_7805_004,ngct,28663,199.4,12.37114605,75.772,3.17,363.8046259,13958,199.4,1,1
PP_7805_10,ngcc,28663,191.2,11.62520531,72.656,3.17,316.0715977,13384,191.2,6,6
PP_7805_6,ngct,28663,199.4,11.75552528,75.772,3.17,345.7007507,13958,199.4,1,1
PP_7805_7,ngcc,28663,199.4,11.13394722,75.772,3.17,315.6975884,13958,199.4,6,6
PP_7805_8,ngcc,28663,199.4,11.17414382,75.772,3.17,316.8373432,13958,199.4,6,6
PP_7805_9,ngcc,28663,191.2,11.67681469,72.656,3.17,317.474778,13384,191.2,6,6
PP_7805_ST4,ngcc,28663,195.5,7.676022526,74.29,3.17,213.3928946,13685,195.5,6,6
PP_7805_ST5,ngcc,28663,271.1,7.676022526,103.018,3.17,295.9120906,18977,271.1,6,6
PP_7826_001,ngct,4473,199.4,8.319994155,75.772,3.17,244.670328,13958,199.4,1,1
PP_7826_002,ngct,4473,199.4,11.61965432,75.772,3.17,341.7051239,13958,199.4,1,1
PP_7826_003,ngct,4473,199.4,12.76731362,75.772,3.17,375.4549285,13958,199.4,1,1
PP_7826_4,ngcc,4473,199.4,10.72345987,75.772,3.17,304.0584218,13958,199.4,6,6
PP_7826_5,ngcc,4473,199.4,10.712896,75.772,3.17,303.7588885,13958,199.4,6,6
PP_7826_STG,ngcc,4473,195,7.412731677,74.1,3.17,205.5463852,13650,195,6,6
PP_7834_CT1A,ngcc,8337,165,11.2067642,62.7,3.17,262.9427075,11550,165,6,6
PP_7834_CT1B,ngcc,8337,165,11.13612112,62.7,3.17,261.285219,11550,165,6,6
PP_7834_CT2A,ngct,8337,165,17.04336612,62.7,3.17,414.7366798,11550,165,1,1
PP_7834_CT2B,ngct,8337,165,17.79513976,62.7,3.17,433.0304899,11550,165,1,1
PP_7834_CT3A,ngct,8337,84,8.259202161,31.92,3.17,102.3176393,5880,84,1,1
PP_7834_CT3B,ngct,8337,84,8.259202161,31.92,3.17,102.3176393,5880,84,1,1
PP_7834_CT4A,ngct,8337,84,8.259202161,31.92,3.17,102.3176393,5880,84,1,1
PP_7834_ST1S,ngcc,8337,190,8.259202161,72.2,3.17,223.1457653,13300,190,6,6
PP_7981_1,ngct,4477,99.9,12.01938938,37.962,3.17,177.0846926,6993,99.9,1,1
PP_7981_2,ngct,4477,99.9,15.38481366,37.962,3.17,226.6683366,6993,99.9,1,1
PP_7981_3,ngct,4477,99.9,12.22088881,37.962,3.17,180.0534345,6993,99.9,1,1
PP_7981_4,ngct,4477,99.9,17.30628746,37.962,3.17,254.9778943,6993,99.9,1,1
PP_7981_5,ngct,4477,99.9,10.35627197,37.962,3.17,152.5815647,6993,99.9,1,1
PP_7981_6,ngct,4477,99.9,15.36601002,37.962,3.17,226.3912979,6993,99.9,1,1
PP_7981_7,ngct,4477,99.9,11.10848832,37.962,3.17,163.6641578,6993,99.9,1,1
